date,ticker,option_price,stock_price,delta,delta_raw,signal_side,option_qty,num_contracts,stock_position,dte,days_held,bars_held,daily_pnl,cumulative_pnl,option_pnl,stock_pnl
2011-05-16,KO,1.315,67.83,-0.554278,0.554278,-1,-17,17,942.2726000000002,33,15,15,13.45015752899156,-55.53361264050704,374.00000000000034,-357.8330000000088
2011-05-17,KO,1.35,67.99,-0.574284,0.574284,-1,-17,17,976.2828000000002,32,16,16,90.10743925099659,34.573826610489554,-59.50000000000024,150.76361599999683
2011-05-18,KO,1.475,68.3,-0.619986,0.619986,-1,-17,17,1053.9762000000003,31,17,17,87.49443839000229,122.06826500049183,-212.5,302.6476680000023
2011-05-19,KO,1.545,68.46,-0.65194,0.65194,-1,-17,17,1108.2980000000002,30,18,18,47.77675678599672,169.84502178648856,-118.99999999999973,168.63619199999644
2011-07-20,ABT,0.76,52.4,0.485727,0.485727,1,19,19,-922.8813000000001,31,1,1,0.0,0.0,0.0,-0.0
2011-07-21,ABT,0.955,52.85,0.575234,0.575234,1,19,19,-1092.9446000000003,30,2,2,-49.29050770250272,-49.29050770250272,370.49999999999994,-415.29658500000266
2011-08-24,PBR,1.82,27.74,-0.511027,0.511027,-1,-29,29,1481.9783,59,1,1,0.0,0.0,-0.0,0.0
2011-08-25,PBR,1.575,24.97,-0.529906,0.529906,-1,-29,29,1536.7274,58,2,2,-3395.263433513499,-3395.263433513499,710.5000000000003,-4105.079890999999
2011-09-20,ORCL,1.775,28.35,-0.558615,0.558615,-1,-31,31,1731.7065,32,1,1,0.0,0.0,-0.0,0.0
2011-09-21,ORCL,1.085,29.54,-0.461276,0.461276,-1,-31,31,1429.9556000000002,31,2,2,4195.273874206996,4195.273874206996,2139.0,2060.730734999996
2011-09-22,ORCL,1.725,28.34,-0.55708,0.55708,-1,-31,31,1726.9480000000003,30,3,3,-3704.155102308,491.1187718989959,-1984.0000000000005,-1715.9467199999992
2011-10-19,ABT,1.79,53.25,0.599151,0.599151,1,15,15,-898.7265,31,1,1,0.0,0.0,0.0,-0.0
2011-10-20,ABT,0.785,54.05,0.38769,0.38769,1,15,15,-581.535,30,2,2,-2235.053300287497,-2235.053300287497,-1507.4999999999998,-718.9811999999974
2011-10-26,COP,2.5300000000000002,71.89,0.487017,0.487017,1,4,4,-194.80679999999998,52,1,1,0.0,0.0,0.0,-0.0
2011-10-27,COP,2.8899999999999997,72.85,0.534015,0.534015,1,4,4,-213.606,51,2,2,-43.69928885999899,-43.69928885999899,143.99999999999977,-187.01452799999876
2011-10-28,COP,2.21,71.74,0.467042,0.467042,1,4,4,-186.8168,50,3,3,-35.85826860400002,-79.557557463999,-271.9999999999999,237.10265999999987
2011-10-31,COP,2.63,69.65,0.501837,0.501837,1,4,4,-200.73479999999998,47,4,4,557.9624176499979,478.40486018599887,167.99999999999997,390.44711199999796
2011-11-01,COP,3.525,67.92,0.546017,0.546017,1,4,4,-218.40679999999998,46,5,5,704.6710628800008,1183.0759230659996,358.0,347.27120400000075
2011-11-02,COP,2.46,69.1,0.472643,0.472643,1,4,4,-189.05719999999997,45,6,6,-684.7340526799984,498.34187038600123,-426.0,-257.7200239999984
2011-11-03,COP,3.02,70.5,0.550204,0.550204,1,4,4,-220.08159999999998,44,7,7,-41.773690100001026,456.5681802860002,224.00000000000003,-264.68008000000106
2011-11-04,COP,2.9800000000000004,70.71,0.551947,0.551947,1,4,4,-220.77879999999996,43,8,8,-62.24178550599845,394.32639478000175,-15.999999999999837,-46.21713599999862
