action,date,ticker,signal_date,option_price,stock_price,delta,delta_raw,signal_side,option_qty,stock_position,num_contracts,strike,expiry,dte,entry_cost,rank,prediction,target_weight,target_delta_exposure,per_contract_delta_exposure,exit_reason,days_held,bars_held,realized_pnl,exit_cost
exit,2016-04-20,JNJ,,1.3,113.58,,,1,1,,1,,,,,,,,,,stop_loss,2.0,2.0,-70.1545528929996,6.244522893000001
exit,2016-04-20,INTC,,0.545,32.0,,,1,7,,7,,,,,,,,,,stop_loss,2.0,2.0,-385.2469375999994,20.1344976
enter,2016-04-25,BP,2016-04-22,1.0150000000000001,31.79,-0.450309,0.450309,-1,-12,540.3708,12,32.0,2016-06-17,53.0,1230.0000000000002,29.0,-0.01095522,-1.0,46909.612608024625,1431.532311,,,,,
exit,2016-04-27,BP,,0.915,33.84,,,-1,-12,,12,,,,,,,,,,hpr_limit_exit,3.0,3.0,1125.7018122240024,42.612427776000004
enter,2016-07-18,BAC,2016-07-15,0.595,14.11,0.550767,0.550767,1,60,-3304.6020000000003,60,14.0,2016-09-16,60.0,3630.0,4.0,0.0029528649,1.0,46970.97608271663,777.132237,,,,,
exit,2016-07-20,BAC,,0.595,14.11,,,1,60,,60,,,,,,,,,,hpr_limit_exit,3.0,3.0,-154.71396710999997,154.71396710999997
enter,2016-07-22,GE,2016-07-21,0.69,32.06,-0.518588,0.518588,-1,-28,1452.0464000000002,28,32.0,2016-09-16,56.0,1960.0,25.0,-0.0034098905,-1.0,46970.97608271663,1662.5931280000002,,,,,
exit,2016-07-26,GE,,0.69,32.06,,,-1,-28,,28,,,,,,,,,,hpr_limit_exit,3.0,3.0,-89.91630379200001,89.91630379200001
enter,2016-09-29,PEP,2016-09-28,1.6749999999999998,107.76,-0.487246,0.487246,-1,-5,243.62300000000002,5,108.0,2016-11-04,36.0,842.4999999999999,29.0,-0.016264372,-1.0,46970.97608271663,5250.562896,,,,,
exit,2016-10-03,PEP,,1.82,108.25,,,-1,-5,,5,,,,,,,,,,hpr_limit_exit,3.0,3.0,21.406754187498493,37.7417908125
enter,2016-10-17,BAC,2016-10-14,0.545,16.05,0.533827,0.533827,1,13,-693.9751000000001,13,16.0,2016-11-18,32.0,721.5000000000001,2.0,0.0041783056,0.12508571421436687,11751.348662373259,856.7923350000001,,,,,
enter,2016-10-17,IBM,2016-10-14,3.925,154.77,-0.49877,0.49877,-1,-6,299.262,6,155.0,2016-11-18,32.0,2361.0,28.0,-0.021940362,-0.8749142857856332,46973.18449265225,7719.463290000001,,,,,
exit,2016-10-18,IBM,,3.025,150.72,,,-1,-6,,6,,,,,,,,,,stop_loss,2.0,2.0,-861.389126064004,67.127156064
exit,2016-10-19,BAC,,0.545,16.05,,,1,13,,13,,,,,,,,,,hpr_limit_exit,3.0,3.0,-32.7391501775,32.7391501775
enter,2016-10-21,GE,2016-10-20,0.65,28.98,0.495557,0.495557,1,7,-346.8899,7,29.0,2016-12-16,56.0,462.0,1.0,0.0136242015,0.1152040196949453,10815.231298566776,1436.124186,,,,,
enter,2016-10-21,MCD,2016-10-20,2.105,113.93,-0.509085,0.509085,-1,-2,101.81700000000001,2,114.0,2016-12-02,42.0,423.0,29.0,-0.10463731,-0.8847959803050547,46939.47019906505,5800.005405000001,,,,,
exit,2016-10-25,GE,,0.575,28.92,,,1,7,,7,,,,,,,,,,hpr_limit_exit,3.0,3.0,-51.70392437000049,20.08149437
exit,2016-10-25,MCD,,1.73,113.57,,,-1,-2,,2,,,,,,,,,,hpr_limit_exit,3.0,3.0,26.599374018998706,14.299049981
enter,2017-01-20,PG,2017-01-19,1.505,87.45,0.499272,0.499272,1,10,-499.272,10,87.5,2017-03-17,56.0,1515.0,5.0,0.0051162736,1.0,46939.782258026054,4366.13364,,,,,
exit,2017-01-24,PG,,1.505,87.45,,,1,10,,10,,,,,,,,,,hpr_limit_exit,3.0,3.0,-61.9306682,61.9306682
enter,2017-01-26,INTC,2017-01-25,0.99,37.56,0.491209,0.491209,1,2,-98.2418,2,37.5,2017-03-03,36.0,200.0,4.0,0.0078086383,1.0,46939.782258026054,1844.981004,,,,,
exit,2017-01-30,INTC,,0.565,37.42,,,1,2,,2,,,,,,,,,,stop_loss,3.0,3.0,-78.69311816799996,5.890030168
enter,2017-02-15,PEP,2017-02-14,1.105,106.73,0.421791,0.421791,1,1,-42.179100000000005,1,107.0,2017-03-24,37.0,111.5,6.0,0.0049410444,1.0,46936.20954693056,4501.775343000001,,,,,
exit,2017-02-16,PEP,,1.295,108.12,,,1,1,,1,,,,,,,,,,stop_loss,2.0,2.0,-52.31395909800003,6.125322098
enter,2017-02-21,HD,2017-02-17,2.84,145.02,0.464897,0.464897,1,6,-278.9382,6,145.0,2017-04-21,59.0,1710.0,3.0,0.008560078,1.0,46934.21534348296,6741.936294,,,,,
exit,2017-02-23,HD,,2.745,144.71,,,1,6,,6,,,,,,,,,,hpr_limit_exit,3.0,3.0,-30.51794748599921,58.858839485999994
enter,2017-04-20,PM,2017-04-19,2.7199999999999998,109.98,0.519095,0.519095,1,8,-415.27599999999995,8,110.0,2017-06-16,57.0,2184.0,4.0,0.006519491,1.0,46935.86137408501,5709.00681,,,,,
exit,2017-04-24,PM,,2.4299999999999997,109.62,,,1,8,,8,,,,,,,,,,hpr_limit_exit,3.0,3.0,-156.98149850400023,68.772122504
enter,2017-04-26,PG,2017-04-25,1.655,87.74,0.544069,0.544069,1,9,-489.6621,9,87.5,2017-06-16,51.0,1498.5,3.0,0.00922343,1.0,46931.69288433221,4773.661406,,,,,
exit,2017-04-28,PG,,1.46,87.33,,,1,9,,9,,,,,,,,,,hpr_limit_exit,3.0,3.0,-44.523732505501584,55.096779505499995
enter,2017-07-18,IBM,2017-07-17,3.4749999999999996,154.0,0.469782,0.469782,1,6,-281.8692,6,155.0,2017-08-18,31.0,2090.9999999999995,3.0,0.0131138,1.0,46932.70183506836,7234.6428000000005,,,,,
exit,2017-07-20,IBM,,3.4749999999999996,154.0,,,1,6,,6,,,,,,,,,,hpr_limit_exit,3.0,3.0,-69.4039284,69.4039284
enter,2017-07-27,PG,2017-07-26,1.385,90.68,0.529587,0.529587,1,4,-211.8348,4,90.5,2017-09-01,36.0,558.0,1.0,0.018752825,0.809083902244322,46932.70183506836,4802.294916000001,,,,,
exit,2017-07-31,PG,,1.175,90.82,,,1,4,,4,,,,,,,,,,stop_loss,3.0,3.0,-134.2053682799973,22.41424828
enter,2017-10-19,PM,2017-10-18,2.21,108.15,0.417105,0.417105,1,2,-83.421,2,110.0,2017-12-15,57.0,444.0,3.0,0.0060302997,1.0,46926.98873296896,4510.990575000001,,,,,
exit,2017-10-20,PM,,2.56,109.52,,,1,2,,2,,,,,,,,,,stop_loss,2.0,2.0,-80.74661863999904,17.56343864
enter,2017-10-26,MSFT,2017-10-25,1.8900000000000001,78.76,0.48659,0.48659,1,3,-145.977,3,79.0,2017-12-01,36.0,570.0,5.0,0.003947979,0.16125657114832567,15133.844261737342,3832.38284,,,,,
exit,2017-10-27,MSFT,,1.25,83.81,,,1,3,,3,,,,,,,,,,stop_loss,2.0,2.0,-934.0081642049997,16.520114205
enter,2018-01-31,MSFT,2018-01-30,3.7249999999999996,95.01,0.510277,0.510277,1,9,-459.24929999999995,9,95.0,2018-03-16,44.0,3361.4999999999995,1.0,0.0055375434,1.0,46878.272584135964,4848.141777,,,,,
