date,ticker,signal,pred_rank,y_pred,y_true,K,execution_date_note
2021-05-14,JNJ,1,2,-0.00034352113,0.0009982092,3,execute_at_open_t+1
2021-05-14,WMT,1,3,-0.0007872768,-0.004525707,3,execute_at_open_t+1
2021-05-17,IBM,1,1,0.033750474,-0.008303971,3,execute_at_open_t+1
2021-05-17,BRK_B,1,2,0.015650593,-0.0056517893,3,execute_at_open_t+1
2021-05-17,GE,1,3,0.010763179,-0.01378276,3,execute_at_open_t+1
2021-05-18,IBM,1,1,0.019322364,-0.0050156843,3,execute_at_open_t+1
2021-05-18,BRK_B,1,2,0.010367576,-0.004775109,3,execute_at_open_t+1
2021-05-18,GE,1,3,0.0054261237,0.009209582,3,execute_at_open_t+1
2021-05-19,IBM,1,1,0.0062811486,0.0048071994,3,execute_at_open_t+1
2021-05-19,CVX,1,2,0.0012180684,0.0034823017,3,execute_at_open_t+1
2021-05-19,BRK_B,1,3,0.0006349562,0.0017802605,3,execute_at_open_t+1
2021-05-20,IBM,1,1,0.0006394824,0.0059594107,3,execute_at_open_t+1
2021-05-20,CVX,1,2,2.6396476e-05,0.0053929253,3,execute_at_open_t+1
2021-05-20,MSFT,1,3,-0.0012209313,-0.005329007,3,execute_at_open_t+1
2021-05-21,MSFT,1,1,-0.00026342832,0.022624213,3,execute_at_open_t+1
2021-05-21,WMT,1,2,-0.00026411936,7.054425e-05,3,execute_at_open_t+1
2021-05-21,CVX,1,3,-0.00059921574,0.014114291,3,execute_at_open_t+1
2021-05-24,WMT,1,1,1.2308359e-05,0.004083075,3,execute_at_open_t+1
2021-05-24,CVX,1,2,-0.0010130312,-0.016518254,3,execute_at_open_t+1
2021-05-24,MSFT,1,3,-0.0015149014,0.0037412979,3,execute_at_open_t+1
2021-05-25,CVX,1,1,0.0005577365,0.002403963,3,execute_at_open_t+1
2021-05-25,XOM,1,2,9.955093e-05,0.011604226,3,execute_at_open_t+1
2021-05-25,WMT,1,3,-0.00019332767,-0.0011950373,3,execute_at_open_t+1
2021-05-26,WMT,1,1,0.00017894432,-0.0033819522,3,execute_at_open_t+1
2021-05-26,CVX,1,2,-5.990453e-05,-0.010718009,3,execute_at_open_t+1
2021-05-26,MSFT,1,3,-0.00022808556,-0.008706125,3,execute_at_open_t+1
2021-05-27,CVX,1,1,0.00024444703,0.007543556,3,execute_at_open_t+1
2021-05-27,AAPL,1,2,0.00012511108,-0.0053623724,3,execute_at_open_t+1
2021-05-27,MSFT,1,3,0.00011904538,0.0014829959,3,execute_at_open_t+1
2021-05-28,AAPL,1,1,0.00012567174,-0.0026517755,3,execute_at_open_t+1
2021-05-28,XOM,1,2,-8.095056e-05,0.03517993,3,execute_at_open_t+1
2021-05-28,GOOGL,1,3,-8.446537e-05,0.010270181,3,execute_at_open_t+1
2021-06-01,MSFT,1,1,0.00018168427,-0.00040428544,3,execute_at_open_t+1
2021-06-01,WMT,1,2,0.00011957623,-0.0021907361,3,execute_at_open_t+1
2021-06-01,JNJ,1,3,0.000110332854,0.004039435,3,execute_at_open_t+1
2021-06-02,WMT,1,1,0.00019915402,0.0017670972,3,execute_at_open_t+1
2021-06-02,MSFT,1,2,-9.150896e-05,-0.006450196,3,execute_at_open_t+1
2021-06-02,GOOGL,1,3,-0.00018169265,-0.009753859,3,execute_at_open_t+1
2021-06-03,GOOGL,1,1,0.00044372305,0.019400965,3,execute_at_open_t+1
2021-06-03,WMT,1,2,0.0002237428,0.00176398,3,execute_at_open_t+1
2021-06-03,AAPL,1,3,0.00017185695,0.01884352,3,execute_at_open_t+1
2021-06-04,WMT,1,1,0.00040437095,-0.0067197424,3,execute_at_open_t+1
2021-06-04,GE,1,2,0.00012379605,-0.0035880913,3,execute_at_open_t+1
2021-06-04,JNJ,1,3,-0.00023020711,-0.006831743,3,execute_at_open_t+1
2021-06-07,WMT,1,1,0.00088079646,-0.0076230196,3,execute_at_open_t+1
2021-06-07,GE,1,2,0.0003967015,-0.0007191658,3,execute_at_open_t+1
