date,ticker,signal,pred_rank,y_pred,y_true,K,execution_date_note
2012-03-07,BRK_B,1,2,0.0017969888,0.00063415564,3,execute_at_open_t+1
2012-03-07,XOM,1,3,0.0015957691,-0.011719342,3,execute_at_open_t+1
2012-03-07,MSFT,-1,7,0.0012925025,0.005324993,3,execute_at_open_t+1
2012-03-07,GE,-1,8,0.0010569114,0.01375683,3,execute_at_open_t+1
2012-03-07,WMT,-1,9,0.00025288388,0.005123837,3,execute_at_open_t+1
2012-03-08,BRK_B,1,1,0.0018890388,0.0068233777,3,execute_at_open_t+1
2012-03-08,XOM,1,2,0.001810126,-0.006267389,3,execute_at_open_t+1
2012-03-08,GOOGL,1,3,0.001705626,-0.011413172,3,execute_at_open_t+1
2012-03-08,IBM,-1,7,0.000887841,0.0040456564,3,execute_at_open_t+1
2012-03-08,GE,-1,8,0.0007952191,0.00052534806,3,execute_at_open_t+1
2012-03-08,JNJ,-1,9,0.0004133191,-0.0016976623,3,execute_at_open_t+1
2012-03-09,CVX,1,1,0.0019368175,0.0039167516,3,execute_at_open_t+1
2012-03-09,GOOGL,1,2,0.0018425863,0.008130126,3,execute_at_open_t+1
2012-03-09,XOM,1,3,0.0018268172,0.014719135,3,execute_at_open_t+1
2012-03-09,WMT,-1,7,0.0011888649,0.009937147,3,execute_at_open_t+1
2012-03-09,IBM,-1,8,0.0010566749,0.0018923366,3,execute_at_open_t+1
2012-03-09,JNJ,-1,9,0.0010018647,0.005545301,3,execute_at_open_t+1
2012-03-12,BRK_B,1,1,0.0018246174,0.015221754,3,execute_at_open_t+1
2012-03-12,CVX,1,2,0.0016949363,0.010760084,3,execute_at_open_t+1
2012-03-12,MSFT,1,3,0.0015190672,0.019472104,3,execute_at_open_t+1
2012-03-12,WMT,-1,7,0.00091582164,0.00525971,3,execute_at_open_t+1
2012-03-12,JNJ,-1,8,0.0008483622,0.0035267996,3,execute_at_open_t+1
2012-03-12,XOM,-1,9,0.0005449727,0.015196627,3,execute_at_open_t+1
2012-03-13,WMT,1,1,0.0009678621,0.0013106161,3,execute_at_open_t+1
2012-03-13,CVX,1,2,0.00095633045,-0.0045069484,3,execute_at_open_t+1
2012-03-13,JNJ,1,3,0.0006000288,-0.0038340664,3,execute_at_open_t+1
2012-03-13,XOM,-1,7,0.00014840066,-0.0097178,3,execute_at_open_t+1
2012-03-13,GOOGL,-1,8,-4.895404e-05,-0.0029016773,3,execute_at_open_t+1
2012-03-13,GE,-1,9,-0.0003155321,0.010157527,3,execute_at_open_t+1
2012-03-14,XOM,1,1,0.0014763251,0.0008134333,3,execute_at_open_t+1
2012-03-14,CVX,1,2,0.0014152117,-0.0059804455,3,execute_at_open_t+1
2012-03-14,WMT,1,3,0.0013972614,0.0024527851,3,execute_at_open_t+1
2012-03-14,GOOGL,-1,7,0.00057655387,0.00830967,3,execute_at_open_t+1
2012-03-14,IBM,-1,8,0.0005024299,0.006232977,3,execute_at_open_t+1
2012-03-14,GE,-1,9,-0.00018850341,0.018523684,3,execute_at_open_t+1
2012-03-15,CVX,1,1,0.0017276872,0.0022695302,3,execute_at_open_t+1
2012-03-15,XOM,1,2,0.00152307,0.004057271,3,execute_at_open_t+1
2012-03-15,WMT,1,3,0.0014202185,-0.006389798,3,execute_at_open_t+1
2012-03-15,IBM,-1,7,0.00067101605,4.854251e-05,3,execute_at_open_t+1
2012-03-15,GOOGL,-1,8,0.00044888072,0.006275248,3,execute_at_open_t+1
2012-03-15,GE,-1,9,-0.00054308213,0.0019821613,3,execute_at_open_t+1
2012-03-16,WMT,1,1,0.002253607,-0.0016450078,3,execute_at_open_t+1
2012-03-16,BRK_B,1,2,0.0012345221,0.0050446126,3,execute_at_open_t+1
2012-03-16,CVX,1,3,0.0011366196,0.0038012536,3,execute_at_open_t+1
2012-03-16,GOOGL,-1,7,0.00024426356,0.01420176,3,execute_at_open_t+1
2012-03-16,JNJ,-1,8,-9.850785e-05,0.0013811097,3,execute_at_open_t+1
2012-03-16,IBM,-1,9,-0.00036419183,-0.0014086904,3,execute_at_open_t+1
2012-03-19,MSFT,1,1,0.001914015,-0.0065430985,3,execute_at_open_t+1
2012-03-19,CVX,1,2,0.0015486274,-0.014742281,3,execute_at_open_t+1
2012-03-19,GE,1,3,0.0015032142,-0.0069513684,3,execute_at_open_t+1
2012-03-19,IBM,-1,7,0.0011201799,-0.007171287,3,execute_at_open_t+1
2012-03-19,JNJ,-1,8,0.00094215013,-0.0038411357,3,execute_at_open_t+1
2012-03-19,GOOGL,-1,9,0.00013654493,-0.0007731939,3,execute_at_open_t+1
2012-03-20,CVX,1,1,0.002565261,-0.010784011,3,execute_at_open_t+1
2012-03-20,GE,1,2,0.0022003464,0.0,3,execute_at_open_t+1
2012-03-20,MSFT,1,3,0.0019453112,-0.0025039136,3,execute_at_open_t+1
2012-03-20,IBM,-1,7,0.0017273296,0.0021519058,3,execute_at_open_t+1
2012-03-20,JNJ,-1,8,0.0013777092,-0.0030835671,3,execute_at_open_t+1
2012-03-20,GOOGL,-1,9,0.0011288598,0.010192712,3,execute_at_open_t+1
2012-03-21,CVX,1,1,0.002667401,-0.024009407,3,execute_at_open_t+1
2012-03-21,XOM,1,2,0.0021586418,-0.007937476,3,execute_at_open_t+1
2012-03-21,BRK_B,1,3,0.0021164548,-0.0034538088,3,execute_at_open_t+1
2012-03-21,JNJ,-1,7,0.0015739445,-0.0046432526,3,execute_at_open_t+1
2012-03-21,IBM,-1,8,0.001544673,0.0039007314,3,execute_at_open_t+1
2012-03-21,GOOGL,-1,9,0.00058516674,0.009439974,3,execute_at_open_t+1
2012-03-22,CVX,1,1,0.0034093298,0.009541426,3,execute_at_open_t+1
2012-03-22,GE,1,2,0.0027073082,-0.003532681,3,execute_at_open_t+1
2012-03-22,XOM,1,3,0.0024054907,0.0025749078,3,execute_at_open_t+1
2012-03-22,JNJ,-1,7,0.0014846064,0.0013952409,3,execute_at_open_t+1
2012-03-22,IBM,-1,8,0.001351947,-4.866535e-05,3,execute_at_open_t+1
2012-03-22,GOOGL,-1,9,0.00048272125,-0.0053700153,3,execute_at_open_t+1
2012-03-23,GE,1,1,0.002735773,0.013557827,3,execute_at_open_t+1
2012-03-23,CVX,1,2,0.0020158403,0.013819081,3,execute_at_open_t+1
2012-03-23,XOM,1,3,0.0019351318,0.017151887,3,execute_at_open_t+1
2012-03-23,MSFT,-1,7,0.0014990419,0.01795714,3,execute_at_open_t+1
2012-03-23,GOOGL,-1,8,0.0014587343,0.010434178,3,execute_at_open_t+1
2012-03-23,JNJ,-1,9,0.0013812929,0.009559123,3,execute_at_open_t+1
2012-03-26,GE,1,1,0.0015604421,-0.00049887755,3,execute_at_open_t+1
2012-03-26,WMT,1,2,0.0012493469,-0.0017990029,3,execute_at_open_t+1
2012-03-26,CVX,1,3,0.0012267958,-0.0074460506,3,execute_at_open_t+1
2012-03-26,JNJ,-1,7,0.0007455312,0.0035230182,3,execute_at_open_t+1
2012-03-26,XOM,-1,8,0.0006230995,-0.004722151,3,execute_at_open_t+1
